month,program,value
10/1/2019,NSLP,26127515
10/1/2019,SBP,18075724
10/1/2019,SSO,0
10/1/2019,SFSP,0
10/1/2019,CACFP,0
11/1/2019,NSLP,26343519
11/1/2019,SBP,17002253
11/1/2019,SSO,0
11/1/2019,SFSP,0
11/1/2019,CACFP,0
12/1/2019,NSLP,25886803
12/1/2019,SBP,16091008
12/1/2019,SSO,0
12/1/2019,SFSP,0
12/1/2019,CACFP,0
1/1/2020,NSLP,442189794
1/1/2020,SBP,212837973
1/1/2020,SSO,0
1/1/2020,SFSP,0
1/1/2020,CACFP,177010854
2/1/2020,NSLP,424433861
2/1/2020,SBP,207900179
2/1/2020,SSO,0
2/1/2020,SFSP,0
2/1/2020,CACFP,167103368
3/1/2020,NSLP,209909169
3/1/2020,SBP,100274282
3/1/2020,SSO,72467392
3/1/2020,SFSP,58526396
3/1/2020,CACFP,175325391
4/1/2020,NSLP,2467214
4/1/2020,SBP,1925664
4/1/2020,SSO,152900218
4/1/2020,SFSP,194209236
4/1/2020,CACFP,85630827
5/1/2020,NSLP,2348191
5/1/2020,SBP,1813186
5/1/2020,SSO,150760246
5/1/2020,SFSP,199057623
5/1/2020,CACFP,110941327
6/1/2020,NSLP,2144829
6/1/2020,SBP,1679272
6/1/2020,SSO,101391983
6/1/2020,SFSP,155680324
6/1/2020,CACFP,138676080
7/1/2020,NSLP,2144829
7/1/2020,SBP,1679272
7/1/2020,SSO,101391983
7/1/2020,SFSP,155680324
7/1/2020,CACFP,138676080
8/1/2020,NSLP,31871950
8/1/2020,SBP,18859668
8/1/2020,SSO,32655426
8/1/2020,SFSP,125938014
8/1/2020,CACFP,130798141
9/1/2020,NSLP,51293270
9/1/2020,SBP,29156182
9/1/2020,SSO,97465385
9/1/2020,SFSP,195446595
9/1/2020,CACFP,170290692
