Group,Value1,Value2
Obtaining approval for new sites,0.20,0.35
Identifying site locations,0.24,0.35
Completing waiver request forms,0.39,0.52
Obtaining needed meal delivery equipment ,0.36,0.57
Obtaining meal packaging ,0.53,0.63
Establishing new meal delivery methods,0.65,0.70
Providing meals during food shortages or supply chain issues,0.63,0.71
Redistributing staff to manage meal sites and delivery methods,0.55,0.72
Ensuring staff safety and obtaining personal protective equipment,0.73,0.80
Continuity of operations during staff absences ,0.70,0.84
