source,target,month,program,value
lunch1,lunch2,February,NSLP,411898609
snacks1,snacks2,February,NSLP,14394127
breakfast1,breakfast2,February,SBP,208880714
lunch2,lunch3,March,NSLP,205049520
snacks2,snacks3,March,NSLP,5925395
breakfast2,breakfast3,March,SBP,100831011
lunch2,lunch3,March,SSO,39145061
snacks2,snacks3,March,SSO,316156
breakfast2,breakfast3,March,SSO,37417352
lunch2,lunch3,March,SFSP,29819431
breakfast2,breakfast3,March,SFSP,27672837
supper2,supper3,March,SFSP,480202
snacks2,snacks3,March,SFSP,561233
lunch3,lunch4,April,NSLP,2061505
snacks3,snacks4,April,NSLP,470306
breakfast3,breakfast4,April,SBP,1968848
lunch3,lunch4,April,SSO,84453997
snacks3,snacks4,April,SSO,479387
breakfast3,breakfast4,April,SSO,79555834
lunch3,lunch4,April,SFSP,96932196
breakfast3,breakfast4,April,SFSP,93568484
supper3,supper4,April,SFSP,1923980
snacks3,snacks4,April,SFSP,1827962
