source,target,month,meal,value
NSLP1,NSLP2,February,lunch,411898609
NSLP1,NSLP2,February,snacks,14394127
SBP1,SBP2,February,breakfast,208880714
NSLP2,NSLP3,March,lunch,205049520
NSLP2,NSLP3,March,snacks,5925395
SBP2,SBP3,March,breakfast,100831011
NSLP2,SSO3,March,lunch,39145061
NSLP2,SSO3,March,snacks,316156
SBP2,SSO3,March,breakfast,37417352
NSLP2,SFSP3,March,lunch,29819431
SBP2,SFSP3,March,breakfast,27672837
SFSP2,SFSP3,March,supper,480202
NSLP2,SFSP3,March,snacks,561233
NSLP3,NSLP4,April,lunch,2061505
NSLP3,NSLP4,April,snacks,470306
SBP3,SBP4,April,breakfast,1968848
SSO3,SSO4,April,lunch,84453997
SSO3,SSO4,April,snacks,479387
SBP3,SSO4,April,breakfast,79555834
NSLP3,SFSP4,April,lunch,96932196
SBP3,SFSP4,April,breakfast,93568484
SFSP3,SFSP4,April,supper,1923980
NSLP3,SFSP4,April,snacks,1827962
